date,KOR_date_index,KOR_d_l_cum_cases,GER_date_index,GER_d_l_cum_cases,ESP_date_index,ESP_d_l_cum_cases,NL_date_index,NL_d_l_cum_cases,UK_date_index,UK_d_l_cum_cases,SWE_date_index,SWE_d_l_cum_cases,FRA_date_index,FRA_d_l_cum_cases,IRN_date_index,IRN_d_l_cum_cases,ITA_date_index,ITA_d_l_cum_cases,USA_date_index,USA_d_l_cum_cases
2020-03-18,29,0.008685217442392812,24,0.12804694557706853,15,0.2046237510336102,14,0.21398118355220497,14,0.21170141182960833,14,0.11491153332436,14,1.2243005038316062,14,-0.17171668525936745,19,0.2240655580012092,12,0.6711156381067589
2020-03-19,30,0.018681012052814694,25,0.10189050943650813,16,0.2232674909921979,15,0.20786827630493931,15,0.1766050983646501,15,0.09589820373424107,15,0.09465639170177376,15,-0.31088800645021486,20,-0.08515036124262743,13,0.43778618092257204
2020-03-20,31,0.010436916785732109,26,0.1041333000472271,17,0.15281256911467445,16,0.20573494322539254,16,0.17123332741264186,16,0.12104355370631659,16,-1.0396561215349909,16,1.0148733897549178,21,0.03170797132145786,14,-0.6259845364850989
2020-03-21,32,0.01585589609927318,27,0.0773012638056354,18,0.2212044932288748,17,0.20336030150869178,17,0.14220926193603667,17,0.07468650847301195,17,0.9126434544619411,17,-0.4992517886608372,22,0.33804379321791167,15,1.1186737224286372
2020-03-22,33,0.00982640447891825,28,0.05822306276037992,19,0.13652858171914062,18,0.19314191842057404,18,0.1448650001338656,18,0.06144566585156852,18,0.1897783626228371,18,0.23866532866791879,23,-0.4047090460750642,16,-0.5506799425544049
2020-03-23,34,0.006008066590457162,29,0.07917216698214347,20,0.14677051697032795,19,0.18099073626176754,19,0.20203774967368382,19,0.08793687451057242,19,0.39845348579389395,NA,NA,24,0.2198992530213939,17,1.1313059417193223
2020-03-24,35,0.005747466094746301,30,0.05992294566671319,21,0.18148500234141451,20,0.17716623059603442,20,0.1691011682848913,20,0.10109611687136866,20,-1.5370472331825944,NA,NA,25,0.47222170475816583,18,-0.9375396920602572
2020-03-25,36,0.007054505489225704,31,0.06382912019011755,22,0.18235306625467373,21,0.1716304542409528,21,0.15919423310279512,21,0.12297207621005946,21,1.5531493860469148,NA,NA,26,-0.0655730108245578,19,1.3694386767171984
2020-03-26,37,0.008665758040134364,32,0.0564545403212211,NA,NA,22,0.16786164284603977,22,0.15612274606149334,22,0.1025098760360823,NA,NA,NA,NA,27,0.29990475349636014,20,-0.5063892614545651
2020-03-27,38,0.008700974547442897,33,0.05564570462326479,NA,NA,23,0.1645828022391509,23,0.13565944174935396,23,0.11492424665189738,NA,NA,NA,NA,28,-0.3032281197987743,21,0.14481089790875679
2020-03-28,39,0.014263402572806783,34,0.046760227551439826,NA,NA,24,0.15887946289102217,24,0.11018876273070966,24,0.08547341126589458,NA,NA,NA,NA,29,0.0389189517440478,22,0.7105378499514767
2020-03-29,40,0.009040096003289477,35,0.03464204389204362,NA,NA,25,0.1514447901251046,25,0.1018811254907046,25,0.07367876247820959,NA,NA,NA,NA,30,-0.06223030369660165,23,-0.5376985944067432
2020-03-30,41,0.004489585307032584,36,0.04745417854568856,NA,NA,26,0.14147162926388113,26,0.12966358346687912,26,0.10032502779190011,NA,NA,NA,NA,31,-0.5651123478632467,24,1.021025108863304
2020-03-31,42,0.015976639889984767,37,0.04157960937370042,NA,NA,27,0.1322619078310865,27,0.12200653164228115,27,0.10345415634051847,NA,NA,NA,NA,32,1.0752266075586903,25,-0.6529088286351126
2020-04-01,43,0.009298505068210616,38,0.04470151959232638,NA,NA,28,0.12567334439051336,28,0.11795458055868124,28,0.09581792289723268,NA,NA,NA,NA,33,0.12285819782843177,26,0.9629696765333406
2020-04-02,44,0.007253166188185389,39,0.04070702515711666,NA,NA,NA,NA,29,0.10398452741266162,29,0.09908026078020349,NA,NA,NA,NA,34,-0.3332300705797291,27,-0.12236076259847017
2020-04-03,45,0.006585741028718672,40,0.04050357770996449,NA,NA,NA,NA,30,0.09411404723309325,30,0.09742857896366885,NA,NA,NA,NA,35,0.2738034391526316,28,0.3435010690508431
2020-04-04,46,0.008883501520864812,41,0.02904727993689349,NA,NA,NA,NA,31,0.07228166161354643,31,0.0536769202456604,NA,NA,NA,NA,36,0.02496502164703074,29,-0.6137517141456446
2020-04-05,47,0.0057777262748963665,42,0.022790715913439286,NA,NA,NA,NA,32,0.06207925523027491,32,0.04857403915072567,NA,NA,NA,NA,37,-0.26411483906700894,30,-0.7827091425862669
2020-04-06,48,0.0030275530240366777,43,0.029504545300516938,NA,NA,NA,NA,33,0.08039025411503076,33,0.05282607529100325,NA,NA,NA,NA,38,-0.2953462503063946,31,1.6783968416912032
