date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,testing_change_irn_13mar2020,sample_avg,day_avg,travel_ban_local_opt_natl,school_closure_natl,p_irn_1,p_irn_2
"2020-03-16","IRN","Hamadan",1,1,1,1,1,1,1,0,131,141,1738234,16mar2020,1,3,2020,16,"Hamadan",0,12,2.484907,.0870113,0,,,1,0,.6666667,1
"2020-03-17","IRN","Hamadan",1,1,1,1,1,1,1,0,137,147,1738234,17mar2020,2,3,2020,17,"Hamadan",0,6,1.791759,,0,.8196025,,1,0,.6666667,1
"2020-03-18","IRN","Hamadan",1,1,1,1,1,1,1,0,150,160,1738234,18mar2020,3,3,2020,18,"Hamadan",0,13,2.564949,.7731898,0,,,1,0,.6666667,1
"2020-03-19","IRN","Hamadan",1,1,1,1,1,1,1,0,153,163,1738234,19mar2020,4,3,2020,19,"Hamadan",0,3,1.098612,,0,.8196025,,1,0,.6666667,1
"2020-03-20","IRN","Hamadan",1,1,1,1,1,1,1,0,158,168,1738234,20mar2020,5,3,2020,20,"Hamadan",0,5,1.609438,.5108256,0,,,1,0,.6666667,1
"2020-03-21","IRN","Hamadan",1,1,1,1,1,1,1,0,163,173,1738234,21mar2020,6,3,2020,21,"Hamadan",0,5,1.609438,0,0,,,1,0,.6666667,1
"2020-03-22","IRN","Hamadan",1,1,1,1,1,1,1,0,170,180,1738234,22mar2020,0,3,2020,22,"Hamadan",0,7,1.94591,.3364722,0,,,1,0,.6666667,1
"2020-02-27","IRN","Hormozgan",0,0,1,1,0,0,0,0,,2,1776415,27feb2020,4,2,2020,27,"Hormozgan",0,,,,0,.8196025,,0,0,0,0
"2020-02-28","IRN","Hormozgan",0,0,1,1,0,0,0,0,,2,1776415,28feb2020,5,2,2020,28,"Hormozgan",0,,,,0,.8196025,,0,0,0,0
"2020-02-29","IRN","Hormozgan",0,0,1,1,0,0,0,0,,2,1776415,29feb2020,6,2,2020,29,"Hormozgan",0,,,,0,.8196025,,0,0,0,0
"2020-03-01","IRN","Hormozgan",0,1,1,1,0,0,0,0,,4,1776415,01mar2020,0,3,2020,1,"Hormozgan",0,,,,0,.8196025,,1,0,.3333333,0
"2020-03-02","IRN","Hormozgan",0,1,1,1,0,0,0,0,,7,1776415,02mar2020,1,3,2020,2,"Hormozgan",0,,,,0,.8196025,,1,0,.3333333,0
"2020-03-03","IRN","Hormozgan",0,1,1,1,1,0,0,0,,11,1776415,03mar2020,2,3,2020,3,"Hormozgan",0,,,,0,.8196025,,1,0,.6666667,0
"2020-03-04","IRN","Hormozgan",0,1,1,1,1,0,0,0,,11,1776415,04mar2020,3,3,2020,4,"Hormozgan",0,,,,0,.8196025,,1,0,.6666667,0
"2020-03-05","IRN","Hormozgan",1,1,1,1,1,0,0,0,,13,1776415,05mar2020,4,3,2020,5,"Hormozgan",0,,,,0,.8196025,,1,1,1,0
"2020-03-06","IRN","Hormozgan",1,1,1,1,1,0,0,0,12,19,1776415,06mar2020,5,3,2020,6,"Hormozgan",0,,,,0,.8196025,,1,1,1,0
"2020-03-07","IRN","Hormozgan",1,1,1,1,1,0,0,0,23,30,1776415,07mar2020,6,3,2020,7,"Hormozgan",0,11,2.397895,,0,.8196025,,1,1,1,0
"2020-03-08","IRN","Hormozgan",1,1,1,1,1,0,0,0,28,35,1776415,08mar2020,0,3,2020,8,"Hormozgan",0,5,1.609438,,0,.8196025,,1,1,1,0
"2020-03-09","IRN","Hormozgan",1,1,1,1,1,0,0,0,45,52,1776415,09mar2020,1,3,2020,9,"Hormozgan",0,17,2.833213,1.223775,0,,,1,1,1,0
"2020-03-10","IRN","Hormozgan",1,1,1,1,1,0,0,0,62,69,1776415,10mar2020,2,3,2020,10,"Hormozgan",0,17,2.833213,0,0,,,1,1,1,0
"2020-03-11","IRN","Hormozgan",1,1,1,1,1,0,0,0,72,79,1776415,11mar2020,3,3,2020,11,"Hormozgan",0,10,2.302585,,0,.8196025,,1,1,1,0
"2020-03-12","IRN","Hormozgan",1,1,1,1,1,0,0,0,72,79,1776415,12mar2020,4,3,2020,12,"Hormozgan",0,0,,,0,.8196025,,1,1,1,0
"2020-03-13","IRN","Hormozgan",1,1,1,1,1,1,1,0,76,83,1776415,13mar2020,5,3,2020,13,"Hormozgan",0,4,1.386294,,1,.8196025,,1,1,1,1
"2020-03-14","IRN","Hormozgan",1,1,1,1,1,1,1,0,76,83,1776415,14mar2020,6,3,2020,14,"Hormozgan",0,0,,,0,.8196025,,1,1,1,1
"2020-03-15","IRN","Hormozgan",1,1,1,1,1,1,1,0,83,90,1776415,15mar2020,0,3,2020,15,"Hormozgan",0,7,1.94591,,0,.8196025,,1,1,1,1
"2020-03-16","IRN","Hormozgan",1,1,1,1,1,1,1,0,99,106,1776415,16mar2020,1,3,2020,16,"Hormozgan",0,16,2.772589,.8266786,0,,,1,1,1,1
"2020-03-17","IRN","Hormozgan",1,1,1,1,1,1,1,0,105,112,1776415,17mar2020,2,3,2020,17,"Hormozgan",0,6,1.791759,,0,.8196025,,1,1,1,1
"2020-03-18","IRN","Hormozgan",1,1,1,1,1,1,1,0,117,124,1776415,18mar2020,3,3,2020,18,"Hormozgan",0,12,2.484907,.6931472,0,,,1,1,1,1
"2020-03-19","IRN","Hormozgan",1,1,1,1,1,1,1,0,122,129,1776415,19mar2020,4,3,2020,19,"Hormozgan",0,5,1.609438,,0,.8196025,,1,1,1,1
"2020-03-20","IRN","Hormozgan",1,1,1,1,1,1,1,0,139,146,1776415,20mar2020,5,3,2020,20,"Hormozgan",0,17,2.833213,1.223775,0,,,1,1,1,1
"2020-03-21","IRN","Hormozgan",1,1,1,1,1,1,1,0,139,146,1776415,21mar2020,6,3,2020,21,"Hormozgan",0,0,,,0,.8196025,,1,1,1,1
"2020-03-22","IRN","Hormozgan",1,1,1,1,1,1,1,0,141,148,1776415,22mar2020,0,3,2020,22,"Hormozgan",0,2,.6931472,,0,.8196025,,1,1,1,1
"2020-02-27","IRN","Ilam",0,0,1,1,0,0,0,0,,0,580158,27feb2020,4,2,2020,27,"Ilam",0,,,,0,.8196025,,0,0,0,0
"2020-02-28","IRN","Ilam",0,0,1,1,0,0,0,0,,0,580158,28feb2020,5,2,2020,28,"Ilam",0,,,,0,.8196025,,0,0,0,0
"2020-02-29","IRN","Ilam",0,0,1,1,0,0,0,0,,1,580158,29feb2020,6,2,2020,29,"Ilam",0,,,,0,.8196025,,0,0,0,0
"2020-03-01","IRN","Ilam",0,1,1,1,0,0,0,0,,2,580158,01mar2020,0,3,2020,1,"Ilam",0,,,,0,.8196025,,1,0,.3333333,0
"2020-03-02","IRN","Ilam",0,1,1,1,0,0,0,0,,3,580158,02mar2020,1,3,2020,2,"Ilam",0,,,,0,.8196025,,1,0,.3333333,0
"2020-03-03","IRN","Ilam",0,1,1,1,1,0,0,0,,5,580158,03mar2020,2,3,2020,3,"Ilam",0,,,,0,.8196025,,1,0,.6666667,0
"2020-03-04","IRN","Ilam",0,1,1,1,1,0,0,0,,12,580158,04mar2020,3,3,2020,4,"Ilam",0,,,,0,.8196025,,1,0,.6666667,0
"2020-03-05","IRN","Ilam",1,1,1,1,1,0,0,0,,12,580158,05mar2020,4,3,2020,5,"Ilam",0,,,,0,.8196025,,1,1,1,0
"2020-03-06","IRN","Ilam",1,1,1,1,1,0,0,0,11,14,580158,06mar2020,5,3,2020,6,"Ilam",0,,,,0,.8196025,,1,1,1,0
"2020-03-07","IRN","Ilam",1,1,1,1,1,0,0,0,13,16,580158,07mar2020,6,3,2020,7,"Ilam",0,2,.6931472,,0,.8196025,,1,1,1,0
"2020-03-08","IRN","Ilam",1,1,1,1,1,0,0,0,13,16,580158,08mar2020,0,3,2020,8,"Ilam",0,0,,,0,.8196025,,1,1,1,0
"2020-03-09","IRN","Ilam",1,1,1,1,1,0,0,0,29,32,580158,09mar2020,1,3,2020,9,"Ilam",0,16,2.772589,,0,.8196025,,1,1,1,0
"2020-03-10","IRN","Ilam",1,1,1,1,1,0,0,0,54,57,580158,10mar2020,2,3,2020,10,"Ilam",0,25,3.218876,.4462872,0,,,1,1,1,0
"2020-03-11","IRN","Ilam",1,1,1,1,1,0,0,0,60,63,580158,11mar2020,3,3,2020,11,"Ilam",0,6,1.791759,,0,.8196025,,1,1,1,0
"2020-03-12","IRN","Ilam",1,1,1,1,1,0,0,0,67,70,580158,12mar2020,4,3,2020,12,"Ilam",0,7,1.94591,.1541506,0,,,1,1,1,0
"2020-03-13","IRN","Ilam",1,1,1,1,1,1,1,0,75,78,580158,13mar2020,5,3,2020,13,"Ilam",0,8,2.079442,.1335315,1,,,1,1,1,1
"2020-03-14","IRN","Ilam",1,1,1,1,1,1,1,0,81,84,580158,14mar2020,6,3,2020,14,"Ilam",0,6,1.791759,,0,.8196025,,1,1,1,1
"2020-03-15","IRN","Ilam",1,1,1,1,1,1,1,0,99,102,580158,15mar2020,0,3,2020,15,"Ilam",0,18,2.890372,1.098612,0,,,1,1,1,1
