date,adm0_name,adm1_name,adm2_name,lat,lon,cum_confirmed_cases,cum_confirmed_cases_imputed,population,travel_ban_intl_out,travel_ban_local,business_closure,social_distance,school_closure,no_gathering,transit_suspension,work_from_home,testing_regime,pos_cases_quarantine,home_isolation,travel_ban_intl_in,travel_ban_local_popwt,business_closure_popwt,social_distance_popwt,school_closure_popwt,no_gathering_popwt,transit_suspension_popwt,work_from_home_popwt,pos_cases_quarantine_popwt,home_isolation_popwt,social_distance_opt,social_distance_opt_popwt,work_from_home_opt,work_from_home_opt_popwt,policies_enacted,t,dow,month,year,day,adm1_id,adm2_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,social_distance_comb_popwt,work_from_home_comb_popwt,p_ita_1,p_ita_2,p_ita_3,p_ita_4,p_ita_5
"2020-03-04","ITA","Piemonte","Alessandria",44.91298,8.615401,16,16,421284,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,04mar2020,3,3,2020,4,"Piemonte","Alessandria",0,,,,,,0,0,0,0,0,0,0
"2020-03-05","ITA","Piemonte","Alessandria",44.91298,8.615401,22,22,421284,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,05mar2020,4,3,2020,5,"Piemonte","Alessandria",0,6,1.791759,,,,0,0,0,1,0,0,0
"2020-03-06","ITA","Piemonte","Alessandria",44.91298,8.615401,32,32,421284,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,06mar2020,5,3,2020,6,"Piemonte","Alessandria",0,10,2.302585,.5108256,,,0,0,0,1,0,0,0
"2020-03-07","ITA","Piemonte","Alessandria",44.91298,8.615401,40,40,421284,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,07mar2020,6,3,2020,7,"Piemonte","Alessandria",0,8,2.079442,,,,0,0,0,1,0,0,0
"2020-03-08","ITA","Piemonte","Alessandria",44.91298,8.615401,60,60,421284,1,.5,.33,1,1,1,0,1,1,1,.33,0,.5,.33,1,1,1,0,1,1,.33,0,0,0,0,8.16,08mar2020,0,3,2020,8,"Piemonte","Alessandria",0,20,2.995732,.9162908,,,1,1,.665,1,.25,1,.33
"2020-03-09","ITA","Piemonte","Alessandria",44.91298,8.615401,63,63,421284,1,.5,.33,1,1,1,0,1,1,1,.33,0,.5,.33,1,1,1,0,1,1,.33,0,0,0,0,8.16,09mar2020,1,3,2020,9,"Piemonte","Alessandria",0,3,1.098612,,,,1,1,.665,1,.25,1,.33
"2020-03-10","ITA","Piemonte","Alessandria",44.91298,8.615401,65,65,421284,1,.5,.33,1,1,1,0,1,1,1,.33,1,.5,.33,1,1,1,0,1,1,.33,0,0,0,0,9.16,10mar2020,2,3,2020,10,"Piemonte","Alessandria",0,2,.6931472,,,,1,1,.665,1,.25,1,.33
"2020-03-11","ITA","Piemonte","Alessandria",44.91298,8.615401,105,105,421284,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,11mar2020,3,3,2020,11,"Piemonte","Alessandria",0,40,3.688879,2.995732,,,1,1,.835,1,.25,1,.67
"2020-03-12","ITA","Piemonte","Alessandria",44.91298,8.615401,132,132,421284,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,12mar2020,4,3,2020,12,"Piemonte","Alessandria",0,27,3.295837,,,,1,1,.835,1,.25,1,.67
"2020-03-13","ITA","Piemonte","Alessandria",44.91298,8.615401,136,136,421284,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,13mar2020,5,3,2020,13,"Piemonte","Alessandria",0,4,1.386294,,,,1,1,.835,1,.25,1,.67
"2020-03-14","ITA","Piemonte","Alessandria",44.91298,8.615401,182,182,421284,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,14mar2020,6,3,2020,14,"Piemonte","Alessandria",0,46,3.828641,2.442347,,,1,1,.835,1,.25,1,.67
"2020-03-15","ITA","Piemonte","Alessandria",44.91298,8.615401,207,207,421284,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,15mar2020,0,3,2020,15,"Piemonte","Alessandria",0,25,3.218876,,,,1,1,.835,1,.25,1,.67
"2020-03-16","ITA","Piemonte","Alessandria",44.91298,8.615401,273,273,421284,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,16mar2020,1,3,2020,16,"Piemonte","Alessandria",0,66,4.189655,.9707789,,,1,1,.835,1,.25,1,.67
"2020-03-17","ITA","Piemonte","Alessandria",44.91298,8.615401,323,323,421284,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,17mar2020,2,3,2020,17,"Piemonte","Alessandria",0,50,3.912023,,,,1,1,.835,1,.25,1,.67
"2020-03-18","ITA","Piemonte","Alessandria",44.91298,8.615401,374,374,421284,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,18mar2020,3,3,2020,18,"Piemonte","Alessandria",0,51,3.931826,.0198026,,,1,1,.835,1,.25,1,.67
"2020-03-19","ITA","Piemonte","Alessandria",44.91298,8.615401,374,374,421284,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,19mar2020,4,3,2020,19,"Piemonte","Alessandria",0,0,,,,,1,1,.835,1,.25,1,.67
"2020-03-20","ITA","Piemonte","Alessandria",44.91298,8.615401,595,595,421284,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,20mar2020,5,3,2020,20,"Piemonte","Alessandria",0,221,5.398163,,,,1,1,.835,1,.25,1,.67
"2020-03-21","ITA","Piemonte","Alessandria",44.91298,8.615401,654,654,421284,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,21mar2020,6,3,2020,21,"Piemonte","Alessandria",0,59,4.077538,,,,1,1,.835,1,.25,1,.67
"2020-03-22","ITA","Piemonte","Alessandria",44.91298,8.615401,760,760,421284,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,22mar2020,0,3,2020,22,"Piemonte","Alessandria",0,106,4.663439,.5859017,,,1,1,1,1,.5,1,.67
"2020-03-23","ITA","Piemonte","Alessandria",44.91298,8.615401,817,817,421284,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,23mar2020,1,3,2020,23,"Piemonte","Alessandria",0,57,4.043051,,,,1,1,1,1,.5,1,.67
"2020-03-24","ITA","Piemonte","Alessandria",44.91298,8.615401,946,946,421284,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,24mar2020,2,3,2020,24,"Piemonte","Alessandria",0,129,4.859812,.816761,,,1,1,1,1,.5,1,.67
"2020-03-25","ITA","Piemonte","Alessandria",44.91298,8.615401,946,946,421284,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,25mar2020,3,3,2020,25,"Piemonte","Alessandria",0,0,,,,,1,1,1,1,.5,1,.67
"2020-03-26","ITA","Piemonte","Alessandria",44.91298,8.615401,980,980,421284,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,26mar2020,4,3,2020,26,"Piemonte","Alessandria",0,34,3.526361,,,,1,1,1,1,.5,1,.67
