date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,testing_change_irn_13mar2020,sample_avg,day_avg,travel_ban_local_opt_natl,school_closure_natl,p_irn_1,p_irn_2,_reghdfe_resid,__hdfe1__,__hdfe2__
"2020-03-11","IRN","East Azarbaijan",1,1,1,1,1,0,0,0,141,141,3909652,11mar2020,3,3,2020,11,"East Azarbaijan",0,29,3.367296,.5340824,0,,,1,1,1,0,-.59037763,-.14627949,-.10792757
"2020-03-13","IRN","East Azarbaijan",1,1,1,1,1,1,1,0,245,245,3909652,13mar2020,5,3,2020,13,"East Azarbaijan",0,97,4.574711,2.628801,1,,,1,1,1,1,1.7437831,-.14627949,-.14408344
"2020-03-17","IRN","East Azarbaijan",1,1,1,1,1,1,1,0,453,453,3909652,17mar2020,2,3,2020,17,"East Azarbaijan",0,78,4.356709,.8013608,0,,,1,1,1,1,-.10905478,-.14627949,.10167506
"2020-03-18","IRN","East Azarbaijan",1,1,1,1,1,1,1,0,537,537,3909652,18mar2020,3,3,2020,18,"East Azarbaijan",0,84,4.430817,.0741076,0,,,1,1,1,1,-.62670535,-.14627949,-.10792757
"2020-03-21","IRN","East Azarbaijan",1,1,1,1,1,1,1,0,722,722,3909652,21mar2020,6,3,2020,21,"East Azarbaijan",0,72,4.276666,.2693329,0,,,1,1,1,1,-.55634932,-.14627949,.01694164
"2020-02-29","IRN","Esfahan",0,0,1,1,0,0,0,0,32,32,5120850,29feb2020,6,2,2020,29,"Esfahan",0,12,2.484907,.1823215,0,,,0,0,0,0,.21556036,.1134651,.01694164
"2020-03-01","IRN","Esfahan",0,1,1,1,0,0,0,0,45,45,5120850,01mar2020,0,3,2020,1,"Esfahan",0,13,2.564949,.0800426,0,,,1,0,1,0,-.63253568,.1134651,.24865449
"2020-03-06","IRN","Esfahan",1,1,1,1,1,1,0,0,313,359,5120850,06mar2020,5,3,2020,6,"Esfahan",0,150,5.010635,.2399507,0,,,1,1,1,0,-1.1080981,.1134651,-.14408344
"2020-03-11","IRN","Esfahan",1,1,1,1,1,1,0,0,713,759,5120850,11mar2020,3,3,2020,11,"Esfahan",0,170,5.135798,2.302585,0,,,1,1,1,0,.9183805,.1134651,-.10792757
"2020-03-13","IRN","Esfahan",1,1,1,1,1,1,1,0,827,873,5120850,13mar2020,5,3,2020,13,"Esfahan",0,110,4.70048,3.314186,1,,,1,1,1,1,2.1694238,.1134651,-.14408344
"2020-03-14","IRN","Esfahan",1,1,1,1,1,1,1,0,982,1028,5120850,14mar2020,6,3,2020,14,"Esfahan",0,155,5.043425,.3429446,0,,,1,1,1,1,-.74248217,.1134651,.01694164
"2020-03-18","IRN","Esfahan",1,1,1,1,1,1,1,0,1463,1509,5120850,18mar2020,3,3,2020,18,"Esfahan",0,162,5.087596,.7701082,0,,,1,1,1,1,-.19044936,.1134651,-.10792757
"2020-03-20","IRN","Esfahan",1,1,1,1,1,1,1,0,1716,1762,5120850,20mar2020,5,3,2020,20,"Esfahan",0,145,4.976734,.2946024,0,,,1,1,1,1,-.62979932,.1134651,-.14408344
"2020-03-07","IRN","Fars",1,1,1,1,1,0,0,0,79,107,4851274,07mar2020,6,3,2020,7,"Fars",0,14,2.639057,.0741081,0,,,1,1,1,0,-.76463116,-.55686945,.01694164
"2020-03-09","IRN","Fars",1,1,1,1,1,0,0,0,117,145,4851274,09mar2020,1,3,2020,9,"Fars",0,29,3.367296,1.170071,0,,,1,1,1,0,.38375162,-.55686945,-.03547815
"2020-03-11","IRN","Fars",1,1,1,1,1,0,0,0,154,182,4851274,11mar2020,3,3,2020,11,"Fars",0,19,2.944439,.0540671,0,,,1,1,1,0,-.65980293,-.55686945,-.10792757
