bundesland,refdatum,case_count,adm1_name,date,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,home_isolation,travel_ban_local,travel_ban_intl,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,p_ger_1,p_ger_2,p_ger_3,p_ger_4,p_ger_5,p_ger_6,p_ger_7
"Berlin","2020/03/06 00:00:00",43,"Berlin","2020-03-06",184,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,06mar2020,5,3,2020,6,"Berlin",0,43,3.7612,.5423243,,,1,0,1,0,0,0,1
"Berlin","2020/03/07 00:00:00",38,"Berlin","2020-03-07",222,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,07mar2020,6,3,2020,7,"Berlin",0,38,3.637586,,,,1,0,1,0,0,0,1
"Berlin","2020/03/08 00:00:00",46,"Berlin","2020-03-08",268,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,08mar2020,0,3,2020,8,"Berlin",0,46,3.828641,.1910553,,,1,0,1,0,0,0,1
"Berlin","2020/03/09 00:00:00",90,"Berlin","2020-03-09",358,"2","0","1","0","0","1","0","1","0","0","2","1","2",1,0,1,0,1,0,1,09mar2020,1,3,2020,9,"Berlin",0,90,4.49981,.6711683,,,1,0,1,0,1,0,1
"Berlin","2020/03/10 00:00:00",135,"Berlin","2020-03-10",493,"2","0","2","1","0","1","0","1","0","0","2","1","2",1,0,1,1,1,0,1,10mar2020,2,3,2020,10,"Berlin",0,135,4.905275,.4054651,,,1,0,1,1,1,0,1
"Berlin","2020/03/11 00:00:00",139,"Berlin","2020-03-11",632,"2","0","2","1","0","1","0","1","0","0","2","1","2",1,0,1,1,1,0,1,11mar2020,3,3,2020,11,"Berlin",0,139,4.934474,.0291991,,,1,0,1,1,1,0,1
"Berlin","2020/03/12 00:00:00",160,"Berlin","2020-03-12",792,"2","0","2","1","0","1","0","1","0","0","2","1","2",1,0,1,1,1,0,1,12mar2020,4,3,2020,12,"Berlin",0,160,5.075174,.1406999,,,1,0,1,1,1,0,1
"Berlin","2020/03/13 00:00:00",186,"Berlin","2020-03-13",978,"2","0","2","1","0","1","0","1","0","0","2","1","2",1,0,1,1,1,0,1,13mar2020,5,3,2020,13,"Berlin",0,186,5.225747,.1505728,,,1,0,1,1,1,0,1
"Berlin","2020/03/14 00:00:00",181,"Berlin","2020-03-14",1159,"2","0","2","1","0","1","0","1","0","0","2","1","2",1,0,1,1,1,0,1,14mar2020,6,3,2020,14,"Berlin",0,181,5.198497,,,,1,0,1,1,1,0,1
"Berlin","2020/03/15 00:00:00",198,"Berlin","2020-03-15",1357,"2","0","2","1","0","1","0","1","0","0","2","1","2",1,0,1,1,1,0,1,15mar2020,0,3,2020,15,"Berlin",0,198,5.288267,.0897703,,,1,0,1,1,1,0,1
"Berlin","2020/03/16 00:00:00",240,"Berlin","2020-03-16",1597,"3","0","2","1","0","1","0","3","2","0","2","1","2",1,0,1,1,1,0,1,16mar2020,1,3,2020,16,"Berlin",0,240,5.480639,.1923718,,,1,0,1,1,1,0,1
