Datum,Provincienaam,Aantal,date,adm1_name,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,home_isolation,travel_ban_local,travel_ban_intl
2020-03-16,Gelderland,135,2020-03-16,Gelderland,568,3,3,2,3,0,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0
2020-03-17,Gelderland,173,2020-03-17,Gelderland,741,3,3,2,3,0,1,1,0,2,0,2,1,1,1,1,1,1,1,1,0
2020-03-18,Gelderland,210,2020-03-18,Gelderland,951,3,3,2,3,0,1,1,0,2,0,2,1,1,1,1,1,1,1,1,0
2020-03-19,Gelderland,240,2020-03-19,Gelderland,1191,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-20,Gelderland,303,2020-03-20,Gelderland,1494,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-21,Gelderland,362,2020-03-21,Gelderland,1856,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-22,Gelderland,421,2020-03-22,Gelderland,2277,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-23,Gelderland,502,2020-03-23,Gelderland,2779,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-24,Gelderland,576,2020-03-24,Gelderland,3355,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-25,Gelderland,675,2020-03-25,Gelderland,4030,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-26,Gelderland,797,2020-03-26,Gelderland,4827,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-27,Gelderland,926,2020-03-27,Gelderland,5753,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-28,Gelderland,1058,2020-03-28,Gelderland,6811,3,3,2,3,0,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-29,Gelderland,1235,2020-03-29,Gelderland,8046,3,3,2,3,0,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-30,Gelderland,1337,2020-03-30,Gelderland,9383,3,3,2,3,0,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-31,Gelderland,1475,2020-03-31,Gelderland,10858,3,3,2,3,1,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-04-01,Gelderland,1615,2020-04-01,Gelderland,12473,3,3,2,3,1,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-12,Groningen,3,2020-03-12,Groningen,3,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0
2020-03-13,Groningen,4,2020-03-13,Groningen,7,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0
2020-03-14,Groningen,4,2020-03-14,Groningen,11,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0
2020-03-15,Groningen,9,2020-03-15,Groningen,20,1,3,2,3,0,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0
2020-03-16,Groningen,10,2020-03-16,Groningen,30,3,3,2,3,0,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0
2020-03-17,Groningen,10,2020-03-17,Groningen,40,3,3,2,3,0,1,1,0,2,0,2,1,1,1,1,1,1,1,1,0
2020-03-18,Groningen,15,2020-03-18,Groningen,55,3,3,2,3,0,1,1,0,2,0,2,1,1,1,1,1,1,1,1,0
2020-03-19,Groningen,29,2020-03-19,Groningen,84,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-20,Groningen,33,2020-03-20,Groningen,117,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-21,Groningen,46,2020-03-21,Groningen,163,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-22,Groningen,56,2020-03-22,Groningen,219,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-23,Groningen,67,2020-03-23,Groningen,286,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-24,Groningen,67,2020-03-24,Groningen,353,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-25,Groningen,80,2020-03-25,Groningen,433,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-26,Groningen,109,2020-03-26,Groningen,542,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-27,Groningen,120,2020-03-27,Groningen,662,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-28,Groningen,133,2020-03-28,Groningen,795,3,3,2,3,0,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-29,Groningen,140,2020-03-29,Groningen,935,3,3,2,3,0,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-30,Groningen,146,2020-03-30,Groningen,1081,3,3,2,3,0,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-31,Groningen,161,2020-03-31,Groningen,1242,3,3,2,3,1,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-04-01,Groningen,169,2020-04-01,Groningen,1411,3,3,2,3,1,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-05,Limburg,2,2020-03-05,Limburg,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2020-03-06,Limburg,9,2020-03-06,Limburg,11,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2020-03-07,Limburg,11,2020-03-07,Limburg,22,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2020-03-08,Limburg,16,2020-03-08,Limburg,38,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2020-03-09,Limburg,23,2020-03-09,Limburg,61,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,0,1,0,0
2020-03-10,Limburg,32,2020-03-10,Limburg,93,0,0,2,0,0,1,0,0,0,0,2,1,2,0,0,1,0,1,0,0
2020-03-11,Limburg,48,2020-03-11,Limburg,141,0,0,2,0,0,1,0,0,0,0,2,1,2,0,0,1,0,1,0,0
2020-03-12,Limburg,53,2020-03-12,Limburg,194,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0
2020-03-13,Limburg,67,2020-03-13,Limburg,261,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0
2020-03-14,Limburg,104,2020-03-14,Limburg,365,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0
2020-03-15,Limburg,129,2020-03-15,Limburg,494,1,3,2,3,0,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0
2020-03-16,Limburg,149,2020-03-16,Limburg,643,3,3,2,3,0,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0
2020-03-17,Limburg,197,2020-03-17,Limburg,840,3,3,2,3,0,1,1,0,2,0,2,1,1,1,1,1,1,1,1,0
2020-03-18,Limburg,258,2020-03-18,Limburg,1098,3,3,2,3,0,1,1,0,2,0,2,1,1,1,1,1,1,1,1,0
2020-03-19,Limburg,291,2020-03-19,Limburg,1389,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-20,Limburg,357,2020-03-20,Limburg,1746,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-21,Limburg,408,2020-03-21,Limburg,2154,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-22,Limburg,437,2020-03-22,Limburg,2591,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-23,Limburg,479,2020-03-23,Limburg,3070,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-24,Limburg,670,2020-03-24,Limburg,3740,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-25,Limburg,765,2020-03-25,Limburg,4505,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-26,Limburg,858,2020-03-26,Limburg,5363,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-27,Limburg,943,2020-03-27,Limburg,6306,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-28,Limburg,1073,2020-03-28,Limburg,7379,3,3,2,3,0,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-29,Limburg,1168,2020-03-29,Limburg,8547,3,3,2,3,0,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-30,Limburg,1281,2020-03-30,Limburg,9828,3,3,2,3,0,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-31,Limburg,1426,2020-03-31,Limburg,11254,3,3,2,3,1,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-04-01,Limburg,1513,2020-04-01,Limburg,12767,3,3,2,3,1,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-02-27,Noord-Brabant,1,2020-02-27,Noord-Brabant,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2020-02-28,Noord-Brabant,1,2020-02-28,Noord-Brabant,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2020-02-29,Noord-Brabant,3,2020-02-29,Noord-Brabant,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2020-03-01,Noord-Brabant,5,2020-03-01,Noord-Brabant,10,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2020-03-02,Noord-Brabant,5,2020-03-02,Noord-Brabant,15,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2020-03-03,Noord-Brabant,12,2020-03-03,Noord-Brabant,27,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2020-03-04,Noord-Brabant,17,2020-03-04,Noord-Brabant,44,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2020-03-05,Noord-Brabant,24,2020-03-05,Noord-Brabant,68,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2020-03-06,Noord-Brabant,34,2020-03-06,Noord-Brabant,102,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2020-03-07,Noord-Brabant,57,2020-03-07,Noord-Brabant,159,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2020-03-08,Noord-Brabant,93,2020-03-08,Noord-Brabant,252,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2020-03-09,Noord-Brabant,135,2020-03-09,Noord-Brabant,387,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,0,1,0,0
2020-03-10,Noord-Brabant,157,2020-03-10,Noord-Brabant,544,0,0,2,0,0,1,0,0,0,0,2,1,2,0,0,1,0,1,0,0
